MODEL_NAME,TASK,BATCH_SIZE,SEQUENCE_LENGTH,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY,THPJ,
albert-base-v2,question-answering,4,128,2,7,1,1, -multicast-weights,1,fp16,best-throughput,2037.1,14.1,34.6,
albert-base-v2,default,4,128,1,14,2,1, ,2,fp16,best-throughput,2115.5,55.5,34.9,
allenai/scibert_scivocab_uncased,default,10,128,2,7,2,1, -multicast-weights,2,fp16,best-throughput,2390,59.1,39.2,
avichr/heBERT_sentiment_analysis,text-classification,12,128,3,4,2,1, -multicast-weights,3,fp16,best-throughput,2140.8,67.6,36.9,
BaptisteDoyen/camembert-base-xnli,default,12,128,3,4,2,1, ,3,fp16,best-throughput,2140.2,67.9,37.3,
beomi/kcbert-base,fill-mask,6,128,6,2,2,1, ,2,fp16,best-throughput,720.8,37.5,17.6,
bert-base-cased,question-answering,8,128,2,7,4,1, -multicast-weights,1,fp16,best-throughput,2425.7,23.5,37.1,
bert-base-cased,fill-mask,4,128,6,2,1,6, ,4,fp16,best-throughput,741.4,44.4,16.5,
bert-base-chinese,fill-mask,10,128,4,3,1,1, ,3,fp16,best-throughput,994.5,93.2,20.2,
bert-base-german-cased,fill-mask,6,128,6,2,2,1, -multicast-weights,2,fp16,best-throughput,708.8,39.7,17,
bert-base-multilingual-cased,fill-mask,1,128,3,4,1,1, ,3,fp16,best-throughput,167.1,88,4.5,X
bert-base-multilingual-uncased,fill-mask,8,128,7,2,1,7, -multicast-weights,2,fp16,best-throughput,198.4,183,7.3,X
bert-base-uncased,question-answering,8,128,2,7,2,1, -multicast-weights,1,fp16,best-throughput,2402.8,24,39.4,
bert-base-uncased,fill-mask,5,128,4,3,4,4, -multicast-weights,2,fp16,best-throughput,695.2,50.7,19,
bert-large-uncased,question-answering,8,128,4,3,1,1, -multicast-weights,1,fp16,best-throughput,667.814,36.518,11.8,
bert-large-uncased,fill-mask,4,128,2,7,1,1, ,2,fp16,best-throughput,530,119.5,9.6,
bert-large-uncased-whole-word-masking-finetuned-squad,default,4,128,1,14,4,, ,1,fp16,best-throughput,600.9,99.2,10.2,
bhadresh-savani/distilbert-base-uncased-emotion,text-classification,5,128,1,14,2,1, ,1,fp16,best-throughput,4715.4,15.3,77.7,
camembert-base,fill-mask,9,128,6,2,1,1, ,2,fp16,best-throughput,671,56.4,17.5,
cardiffnlp/twitter-roberta-base-sentiment,text-classification,10,128,2,7,2,1, ,2,fp16,best-throughput,2463.1,57.5,41.1,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,8,128,2,7,1,1, ,3,fp16,best-throughput,2411.2,70.5,40,
ckiplab/albert-tiny-chinese,fill-mask,3,128,14,1,1,, -multicast-weights,3,fp16,best-throughput,1054.7,8.7,47.2,
classla/bcms-bertic-ner,token-classification,8,128,2,7,4,1, -multicast-weights,3,fp16,best-throughput,2154.9,86.3,36.1,
cl-tohoku/bert-base-japanese,fill-mask,8,128,6,2,2,1, -multicast-weights,4,fp16,best-throughput,665.3,102.3,17.5,
